Artist,Song,Row Type,Status,Current Catalog Entry,Qualified Next Wave Addition,Active Catalog Gain This Wave,Song or Source ID,Format,Key,Chord Count,Transpose Checks,Reason,Git Payload Path,Source Archive,Source Path,Wave ID
4 Non Blondes,What's Up? *alt,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,3ff939f57f701ced8fc1c1f66696fccb380c2cc47a70b85a2acc068295316e03,gpx,A,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
A Flock of Seagulls,I Ran,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,8ea71705f7e20630d86357e1d171e9a958025bb441c1b2b4b32cc035d997b3ad,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
A Flock of Seagulls,Space Age Love Song,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,86726b822ac7d82b844efb2d5555977977633f62eead28e4183361abdf38726d,gpx,D,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
A-Ha,Take On Me *alt,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,c26b0b6bc4b7353da39ce0fa842e476d135759bdbee81d8213e3b0516ef126ed,gpx,A,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
A-Ha,Take On Me *alt 2,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,b1cd0d6d15462cf2c55eb9a492da65ad2c1def181cdb91ddad8d29b72fde7572,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
A-Ha,The Living Daylights,CANDIDATE_SOURCE,PENDING_PARSE_AND_QA,0,0,0,0a267e9e095d29d1572b76b2bcd21c02632ca02a800073f456697881b3b59721,gp3,,,,Raw source parsing not executed,,GuitarPro_Tabs.rar,GuitarPro_Tabs/A-ha - The Living Daylights.gp3,GFB-V6.0-CATALOG-R03
ABBA,Andante Andante,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,7c76d20cfe5a04dd02fe17fe37dccfee49d4d6c025837576b104a8e386be9eef,gpx,F,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,Chiquitita,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,da718ef8ee70a185e8fceaa4f5d59defd8ac9b2ed38d89570a3a3078fff9cd66,gpx,A,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,Dancing Queen,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,4936cf9dc3b5ff680bebee164eaa9a20af6214a26c3f7f6c1bcb327a432f7673,gpx,A,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,Does Your Mother Know,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,ee0c6c7950f37775041ee04eaea752e036dfd3d88c79ea7c78edfa92d8547dec,gpx,G,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
